id,age,job,marital,education,default,balance,housing,loan,date,duration,campaign,pdays,previous,poutcome,deposit
1,59,admin.,married,secondary,no,2343,1,0,5-May-21,1042,1,-1,0,unknown,1
2,56,admin.,married,secondary,no,45,0,0,5-May-21,1467,1,-1,0,unknown,1
3,41,technician,married,secondary,no,1270,1,0,5-May-21,1389,1,-1,0,unknown,1
4,55,services,married,secondary,no,2476,1,0,5-May-21,579,1,-1,0,unknown,1
5,54,admin.,married,tertiary,no,184,0,0,5-May-21,673,2,-1,0,unknown,1
6,42,management,single,tertiary,no,0,1,1,5-May-21,562,2,-1,0,unknown,1
7,56,management,married,tertiary,no,830,1,1,6-May-21,1201,1,-1,0,unknown,1
8,60,retired,divorced,secondary,no,545,1,0,6-May-21,1030,1,-1,0,unknown,1
9,37,technician,married,secondary,no,1,1,0,6-May-21,608,1,-1,0,unknown,1
10,28,services,single,secondary,no,5090,1,0,6-May-21,1297,3,-1,0,unknown,1
11,38,admin.,single,secondary,no,100,1,0,7-May-21,786,1,-1,0,unknown,1
12,30,blue-collar,married,secondary,no,309,1,0,7-May-21,1574,2,-1,0,unknown,1
13,29,management,married,tertiary,no,199,1,1,7-May-21,1689,4,-1,0,unknown,1
14,46,blue-collar,single,tertiary,no,460,1,0,7-May-21,1102,2,-1,0,unknown,1
15,31,technician,single,tertiary,no,703,1,0,8-May-21,943,2,-1,0,unknown,1
16,35,management,divorced,tertiary,no,3837,1,0,8-May-21,1084,1,-1,0,unknown,1
17,32,blue-collar,single,primary,no,611,1,0,8-May-21,541,3,-1,0,unknown,1
18,49,services,married,secondary,no,-8,1,0,8-May-21,1119,1,-1,0,unknown,1
19,41,admin.,married,secondary,no,55,1,0,8-May-21,1120,2,-1,0,unknown,1
20,49,admin.,divorced,secondary,no,168,1,1,8-May-21,513,1,-1,0,unknown,1
21,28,admin.,divorced,secondary,no,785,1,0,8-May-21,442,2,-1,0,unknown,1
22,43,management,single,tertiary,no,2067,1,0,8-May-21,756,1,-1,0,unknown,1
23,43,management,divorced,tertiary,no,388,1,0,8-May-21,2087,2,-1,0,unknown,1
24,43,blue-collar,married,primary,no,-192,1,0,8-May-21,1120,2,-1,0,unknown,1
25,37,unemployed,single,secondary,no,381,1,0,8-May-21,985,2,-1,0,unknown,1
26,35,blue-collar,single,secondary,no,40,1,0,9-May-21,617,4,-1,0,unknown,1
27,31,technician,single,tertiary,no,22,1,0,9-May-21,483,3,-1,0,unknown,1
28,43,blue-collar,single,secondary,no,3,1,0,9-May-21,929,3,-1,0,unknown,1
29,31,admin.,married,secondary,no,307,1,0,9-May-21,538,1,-1,0,unknown,1
30,28,blue-collar,single,secondary,no,759,1,0,9-May-21,710,1,-1,0,unknown,1
31,32,blue-collar,married,secondary,yes,-1,1,0,9-May-21,653,1,-1,0,unknown,1
32,60,technician,married,primary,no,65,1,0,9-May-21,1028,2,-1,0,unknown,1
33,26,blue-collar,single,secondary,no,82,1,0,9-May-21,654,1,-1,0,unknown,1
34,40,blue-collar,married,secondary,no,10,1,0,9-May-21,1692,2,-1,0,unknown,1
35,33,blue-collar,divorced,primary,no,390,1,0,9-May-21,665,2,-1,0,unknown,1
36,32,management,single,tertiary,no,311,0,0,12-May-21,757,2,-1,0,unknown,1
37,35,blue-collar,married,primary,no,414,0,0,13-May-21,504,4,-1,0,unknown,1
38,33,management,divorced,secondary,no,5,1,0,13-May-21,1346,1,-1,0,unknown,1
39,38,management,married,tertiary,no,119,1,0,13-May-21,568,4,-1,0,unknown,1
40,23,entrepreneur,single,primary,no,4,1,0,13-May-21,395,2,-1,0,unknown,1
41,60,blue-collar,married,primary,no,1262,1,1,13-May-21,1015,1,-1,0,unknown,1
42,48,management,married,tertiary,no,1949,1,0,13-May-21,683,2,-1,0,unknown,1
43,45,entrepreneur,divorced,tertiary,no,-395,1,0,13-May-21,470,1,-1,0,unknown,1
44,36,blue-collar,married,secondary,no,1165,1,0,13-May-21,1001,4,-1,0,unknown,1
45,52,management,married,unknown,no,2240,1,0,13-May-21,845,1,-1,0,unknown,1
46,35,blue-collar,divorced,primary,no,300,1,0,13-May-21,945,2,-1,0,unknown,1
47,43,technician,married,secondary,no,3285,1,0,13-May-21,1721,2,-1,0,unknown,1
48,52,housemaid,married,secondary,no,3923,1,0,14-May-21,942,3,-1,0,unknown,1
49,53,technician,divorced,primary,no,1443,1,0,14-May-21,476,1,-1,0,unknown,1
50,48,blue-collar,divorced,primary,no,24,1,0,14-May-21,832,1,-1,0,unknown,1
